ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
1573226521,The Beach,Alex Garland,1998,Riverhead Books
671027638,The Fuck Up,Arthur Nersesian,1999,MTV
1573228214,High Fidelity,Nick Hornby,2000,Riverhead Books
316780812,Sea Glass: A Novel,Anita Shreve,2002,Little
515119784,Range of Motion,Elizabeth Berg,1996,Jove Books
811825558,The Worst-Case Scenario Survival Handbook,Joshua Piven,1999,Chronicle Books
515134449,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1994,Jove Books
767902890,The Things They Carried,TIM O'BRIEN,1998,Broadway
380977788,Coraline,Neil Gaiman,2002,HarperCollins
441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books
8408043641,La Sombra Del Viento/The Shadow Of The Wind,Carlos Ruiz Zafon,2003,Planeta Pub Corp
553571818,Long After Midnight,IRIS JOHANSEN,1997,Bantam
441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter
812550390,Listeners,Christopher Pike,1998,Tor Books (Mm)
1885211279,There's No Toilet Paper on the Road Less Traveled: The Best of Travel Humor and Misadventure (Travelers' Tales Guides),Doug Lansky,1998,Travelers' Tales Guides
553280147,Till We Meet Again,Judith Krantz,1989,Bantam Books
345391055,Disclosure,Michael Crichton,1994,Ballantine Books
312979479,And Then There Were None : A Novel,Agatha Christie,2001,St. Martin's Paperbacks
375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
068480087X,POSTCARDS,Annie Proulx,1994,Scribner
743407067,The First Time,Joy Fielding,2001,Pocket Star
515131083,Plantation: A Lowcountry Tale,Dorothea Benton Frank,2001,Jove Books
743407083,Grand Avenue,Joy Fielding,2002,Pocket Star
446533041,Good Grief : A Novel,Lolly Winston,2004,Warner Books
743483014,Irish Girls About Town : An Anthology of Short Stories,Maeve Binchy,2004,Pocket
380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
64401774,More Scary Stories To Tell In The Dark,Alvin Schwartz,1986,HarperTrophy
380732238,Smack,Melvin Burgess,1999,HarperTempest
399142789,Conversations with God : An Uncommon Dialogue (Book 1),Neale Donald Walsch,1996,Putnam Publishing Group
375406530,Waiting,Ha Jin,1999,Pantheon Books
006000438X,The Death of Vishnu: A Novel,Manil Suri,2002,Perennial
375412557,Death in Holy Orders (Adam Dalgliesh Mysteries (Hardcover)),P.D. JAMES,2001,Knopf
374129983,The Corrections,Jonathan Franzen,2001,Farrar Straus & Giroux
394561619,Love in the Time of Cholera,GABRIEL GARCIA MARQUEZ,1988,Knopf
385318782,Talk Before Sleep,Elizabeth Berg,1997,Dell
1931561648,The Time Traveler's Wife (Today Show Book Club #15),Audrey Niffenegger,2003,MacAdam/Cage Publishing
60517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
380701340,Creed for the Third Millennium,Colleen McCullough,1986,Avon
451146425,Lie Down With Lions,Ken Follett,1986,New Amer Library (Mm)
345300203,The Outside Man,Richard North Patterson,1995,Ballantine Books
1576737330,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce Wilkinson,2000,Multnomah
590371258,Out of the Dust (Apple Signature Edition),Karen Hesse,1999,Scholastic
151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
670813028,It,Stephen King,1986,Viking Books
451197410,How Stella Got Her Groove Back,Terry McMillan,1998,Signet Book
316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
445406518,Crocodile on the Sandbank,Elizabeth Peters,1988,Warner Books
61006629,Fatherland,Robert Harris,1995,HarperTorch
385333498,The Sirens of Titan,Kurt Vonnegut,1998,Delta Trade Paperbacks
345313151,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books
345314255,Sword of Shannara,Terry Brooks,1995,Del Rey Books
345305183,On a Pale Horse,Piers Anthony,1984,Ballantine Books
61031429,The Vendetta Defense,Lisa Scottoline,2002,HarperTorch
60977337,Downsize This! Random Threats from an Unarmed American,Michael Moore,1997,Perennial
553380168,A Brief History of Time : The Updated and Expanded Tenth Anniversary Edition,STEPHEN HAWKING,1998,Bantam
006098726X,Stupid White Men : ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,2004,Regan Books
553582925,Tick Tock,Dean R. Koontz,2000,Bantam Books
525941673,Cavedweller,Dorothy Allison,1998,Dutton Books
812522400,Lord of the Isles (Lord of the Isles),David Drake,1998,Tor Fantasy
452283930,Gossip Hound,Wendy Holden,2003,Plume Books
1573227331,About a Boy,Nick Hornby,1999,Riverhead Books
080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books
316812471,Revolution from Within : A Book of Self-Esteem,Gloria Steinem,1993,Little
1551668653,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira
038079960X,The Mermaids Singing,Lisa Carey,1999,Avon
440237300,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,Dell
66214122,Prey: A Novel,Michael Crichton,2002,HarperCollins
375507523,Bushwhacked : Life in George W. Bush's America,MOLLY IVINS,2003,Random House
836221192,Dilbert Fugitive From The Cubicle Police,Scott Adams,1996,Andrews McMeel Publishing
446604275,Primary Colors: A Novel of Politics,Anonymous,1996,Warner Books
812968379,Funny in Farsi : A Memoir of Growing Up Iranian in America,FIROOZEH DUMAS,2004,Random House Trade Paperbacks
451188470,The Love Letter,Cathleen Schine,1996,Signet Book
375502238,Blessings,ANNA QUINDLEN,2002,Random House
440202043,Shell Seekers,Rosamunde Pilcher,1996,Dell
590452037,Maniac Magee,Jerry Spinelli,2002,Scholastic Inc
451183665,A Case of Need,Michael Crichton,1994,Signet Book
399150897,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group
811828964,The Bad Girl's Guide to Getting What You Want,Cameron Tuttle,2000,Chronicle Books
074322535X,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone
399148728,Fire Ice: A Novel from the NUMA Files,Clive Cussler,2002,Putnam Publishing Group
684841185,Death du Jour,Kathy Reichs,1999,Scribner
679463070,Casual Rex: A Novel,Eric Garcia,2001,Villard Books
316693286,Pop Goes the Weasel,James Patterson,1999,Replica Books
373484887,Hidden Star (The Star Series),Nora Roberts,2001,Silhouette
60086246,Last Chance Saloon,Marian Keyes,2003,Perennial
451180429,The Quiet Game,Greg Iles,2000,Signet Book
373250126,Milkrun,Sarah Mlynowski,2001,Harlequin
373250193,Loose Screws (Red Dress Ink (Paperback)),Karen Templeton,2002,Red Dress Ink
451410947,Must Love Dogs,Claire Cook,2003,Onyx Books
038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday
3257229364,Endstation Venedig. Commissario Brunettis zweiter Fall.,Donna Leon,1996,Diogenes Verlag
552998001,Blackberry Wine,Joanne Harris,2001,Black Swan
3442439736,Die Schandmaske.,Minette Walters,1998,Goldmann
671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket
325722575X,Der Hahn ist tot. Roman.,Ingrid Noll,1993,Diogenes Verlag
440226414,Fortune's Hand,Belva Plain,2000,Dell Publishing Company
60959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial
055327886X,Rubyfruit Jungle,Rita Mae Brown,1983,Bantam Books
805036377,M Is for Malice (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1996,Henry Holt & Company
688156134,Stalker: A Novel (Peter Decker & Rina Lazarus Novels (Hardcover)),Faye Kellerman,2000,William Morrow & Company
014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books
2070408507,Le Petit Prince,Antoine de Saint-ExupÃ©ry,1999,Gallimard
031286504X,I Am Legend,Richard Matheson,1997,Orb Books
374525641,The Spirit Catches You and You Fall Down,Anne Fadiman,1998,Farrar
312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books
446600342,Where There's Smoke,Sandra Brown,1994,Warner Books
446364150,Hidden Fires,Sandra Brown,1994,Warner Books
446356875,Another Dawn,Sandra Brown,1991,Warner Books
452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume
452281091,Chang and Eng: A Novel,Darin Strauss,2001,Plume Books
034540761X,The Final Judgment,Richard North Patterson,1997,Ballantine Books
875420036,True Magick: A Beginner's Guide (Llewellyn's New Age Series),K. Amber,1991,Llewellyn Publications
141001828,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nat Philbrick,2001,Penguin Books
60929871,Brave New World,Aldous Huxley,1998,Perennial
393312836,A Clockwork Orange (Norton Paperback Fiction),Anthony Burgess,1986,W. W. Norton & Company
553211757,Crime and Punishment (Crime & Punishment),Fyodor Dostoevsky,1984,Bantam
515093556,Belinda,Anne Rice,1994,Jove Books
385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor
61095540,Marrying Mom,Olivia Goldsmith,1997,HarperTorch
679732411,Gift from the Sea,Anne Morrow Lindbergh,1991,Pantheon Books
446606243,The Tenth Justice,Brad Meltzer,1998,Warner Books
316785261,The Fig Eater : A Novel,Jody Shields,2001,Back Bay Books
140049975,East of Eden,John Steinbeck,1984,Penguin Books
425174808,Tom Clancy's Op-Center: Divide and Conquer (Tom Clancy's Op Center (Paperback)),Tom Clancy,2000,Berkley Publishing Group
451202856,Nothing but the Truth,John T. Lescroart,2001,Signet Book
142001430,Year of Wonders,Geraldine Brooks,2002,Penguin Books
609809547,Tales of a Female Nomad: Living at Large in the World,Rita Golden Gelman,2002,Three Rivers Press (CA)
312984820,Night Embrace (Dark-Hunter),Sherrilyn Kenyon,2003,St. Martin's Paperbacks
080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books
031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA
553250256,Catcher in the Rye,Salinger,1984,Bantam Books
440241812,Shopaholic Takes Manhattan,SOPHIE KINSELLA,2004,Dell Publishing
767914767,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2004,Broadway Books
679721037,Hiroshima,John Hersey,1989,Vintage Books USA
006093090X,The Night Listener : A Novel,Armistead Maupin,2001,Perennial
140270590,A New Song (Mitford Years (Paperback)),Jan Karon,2000,Viking Books
440235596,Tara Road,Maeve Binchy,2000,Dell Publishing Company
375504907,Reading Lolita in Tehran : A Memoir in Books,AZAR NAFISI,2003,Random House
061810450X,The Wind Done Gone: A Novel,Alice Randall,2001,Houghton Mifflin
380816555,Practical Demonkeeping,Christopher Moore,2000,Perennial
684848066,In the Meantime : Finding Yourself and the Love You Want,Iyanla Vanzant,1999,Fireside
441627404,The Once and Future King,T. H. White,1987,Ace Books
553562738,Doomsday Book,Connie Willis,1993,Spectra Books
038070613X,Taliesin : Book One of the Pendragon Cycle (Pendragon Cycle),Stephen R. Lawhead,1990,Avon
042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group
446613266,Four Blind Mice,James Patterson,2003,Warner Books
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor
312267460,Headlong (Bestselling Backlist),Michael Frayn,2000,Picador USA
552998486,Chocolat,Joanne Harris,2000,Black Swan
140440151,Madame Bovary (Classics S.),Gustave Flaubert,1970,Penguin Books Ltd
671041789,The Green Mile,Stephen King,1999,Pocket
439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic
439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
380726297,Sacred,Dennis Lehane,1998,HarperTorch
044023672X,Answered Prayers,DANIELLE STEEL,2003,Dell
440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel
1573229083,My Dream of You,Nuala O'Faolain,2002,Riverhead Books
034540047X,The Hotel New Hampshire,John Irving,1995,Ballantine Books
380805995,Kiss of the Bees: A Novel of Suspense,J.A. Jance,2001,Avon
449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books
60935464,To Kill a Mockingbird,Harper Lee,2002,Perennial Classics
446322180,Name of the Rose-Nla,Umberto Eco,1984,Warner Books
1551668998,Beach House,Mary Alice Monroe,2002,Mira
515116173,Decider,Dick Francis,1995,Jove Books
042516828X,Sudden Mischief,Robert B. Parker,1999,Berkley Publishing Group
446519081,The Tenth Insight : Holding the Vision,James Redfield,1996,Warner Books
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books
1577311523,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,1999,New World Library
1882723007,Embraced by the Light,Betty J. Eadie,1992,Gold Leaf Press (MI)
874776945,The Artist's Way : A Spiritual Path to Higher Creativity,Julia Cameron,1992,Jeremy P. Tarcher
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
425158640,Idoru,William Gibson,1997,Berkley Publishing Group
553210823,The Canterbury Tales (Bantam Classics),Geoffrey Chaucer,1982,Bantam
60988258,Running In Heels: A Novel,Anna Maxted,2002,Regan Books
451184963,Insomnia,Stephen King,1995,Signet Book
440220602,The Chamber,John Grisham,1995,Dell Publishing Company
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group
399149422,The Cat Who Brought Down the House,Lilian Jackson Braun,2003,Putnam Publishing Group
440972329,A Ring of Endless Light (Austin Family),Madeleine L'Engle,1981,Laure Leaf
451156609,The Tommyknockers,Stephen King,1994,Signet Book
034530988X,Friday,Robert Heinlein,1988,Del Rey Books
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
553278118,Doctors,Erich Segal,1989,Bantam Books
425170349,Rainbow Six,Tom Clancy,2004,Berkley Publishing Group
380709538,Runaway Ralph (Cleary Reissue),Beverly Cleary,1991,HarperTrophy
743400526,She Said Yes : The Unlikely Martyrdom of Cassie Bernall,Misty Bernall,2000,Pocket
671695169,Midnight Whispers (Cutler),V.C. Andrews,1992,Pocket
671695142,Twilight's Child (Cutler),V.C. Andrews,1992,Pocket
671729462,My Sweet Audrina,V.C. Andrews,1990,Pocket
446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books
440204194,Firefly Summer,Maeve Binchy,1989,Dell
3404149114,Das Zweite GedÃ?Â¤chtnis.,Ken Follett,2003,LÃ?Â¼bbe
440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling
014038572X,The Outsiders (Now in Speak!),S. E. Hinton,1997,Puffin Books
846630679X,La caverna = A caverna,Jose Saramago,2002,Punto de Lectura
440241073,The Summons,John Grisham,2002,Dell Publishing Company
553277243,Time Flies,BILL COSBY,1988,Bantam
553287303,Second Child,John Saul,1997,Bantam Books
451190521,The Green Mile: The Mouse on the Mile (Green Mile Series),Stephen King,1996,Signet Book
451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book
440204429,Perfect Victim,Christine McGuire,1989,Dell Publishing Company
202025462X,Hygiene De Lassassin,Amelie Nothomb,2002,European Book Co
2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
2253152846,Metaphysique Des Tubes,Amelie Nothomb,2002,Distribooks Inc
743203178,Nothing Like It In the World : The Men Who Built the Transcontinental Railroad 1863-1869,Stephen E. Ambrose,2001,Simon & Schuster
449227421,The Third Twin,Ken Follett,1997,Fawcett Books
3426600218,Dinopark/Jurassic Park,Michael Crichton,1994,Distribooks Inc
525244581,The Tao of Pooh,Benjamin Hoff,1982,Dutton Books
805010858,I Is for Innocent (A Kinsey Millhone Mystery),Sue Grafton,1992,Henry Holt & Company
1558506462,Small Miracles: Extraordinary Coincidences from Everyday Life,Yitta Halberstam,1997,Adams Media Corporation
451167716,The Godfather,Mario Puzo,2004,Signet Book
446606324,The Winner,David Baldacci,1998,Warner Vision
446604089,The Best Laid Plans,Sidney Sheldon,1998,Warner Books
451202473,Bones,Jan Burke,2001,Signet Book
1558746986,Chicken Soup for the Unsinkable Soul - Stories of Triumphing Over Life's Obstacles,Jack Canfield,1999,Health Communications
515132187,The Villa,Nora Roberts,2002,Jove Books
449213447,The Chosen,Chaim Potok,1995,Fawcett Books
446670251,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books
425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group
425179613,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,2001,Berkley Publishing Group
375724370,Anil's Ghost (Vintage International),Michael Ondaatje,2001,Vintage Books USA
3453127013,Der Regenmacher.,John Grisham,1997,Heyne
671014196,The Summerhouse,Jude Deveraux,2002,Pocket
871136791,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press
553380095,The Heart of a Woman,Maya Angelou,1997,Bantam
60391502,The Zone: A Dietary Road Map to Lose Weight Permanently : Reset Your Generic Code : Prevent Disease : Achieve Maximum Physical Performance,Barry Sears,1995,ReganBooks
743423682,Hollywood Wives - The New Generation,Jackie Collins,2002,Pocket
525945938,Scarlet Feather,Maeve Binchy,2001,Dutton Books
042516876X,Range of Motion,Elizabeth Berg,2000,Berkley Publishing Group
385496095,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,2000,Anchor Books/Doubleday
385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese
1551667509,Haunted,Heather Graham,2003,Mira
679405283,The Tale of the Body Thief (Vampire Chronicles),Anne Rice,1992,Alfred A. Knopf
515137111,Birthright,Nora Roberts,2004,Jove Books
743469844,Flirting with Pete : A Novel,Barbara Delinsky,2004,Pocket
553583573,Dark Horse,TAMI HOAG,2004,Bantam
451205561,The Chocolate Cat Caper,Joanna Carl,2002,Signet Book
375406182,Plainsong,Kent Haruf,1999,Alfred A. Knopf
553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,Bantam
345389964,A Son of the Circus,John Irving,1995,Ballantine Books
679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA
1888054557,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2001,Collectors Press
312099045,Route 66 Postcards: Greetings from the Mother Road,Michael Wallis,1993,St. Martin's Press
312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks
385265565,There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,1992,Anchor
670813648,Misery,Stephen King,1990,Viking Books
399144315,The Cat Who Saw Stars,Lilian Jackson Braun,1999,Putnam Pub Group
786883219,Brain Droppings,George Carlin,1998,Hyperion
375504613,A Short Guide to a Happy Life,ANNA QUINDLEN,2000,Random House
671001795,Two for the Dough,Janet Evanovich,1996,Pocket
156904365,Till We Have Faces: A Myth Retold,C. S. Lewis,1980,Harvest Books
8804342838,Due di due (Bestsellers),Andrea De Carlo,1991,A. Mondadori
014034991X,Westing Game,Ellen Raskin,1992,Puffin Books
553274295,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books
451524667,Animal Farm,George Orwell,1990,New Amer Library Classics
671007696,Lightning Strikes (Hudson),V.C. Andrews,2000,Pocket
067100767X,Rain,V.C. Andrews,2000,Pocket Books
743403614,Orphans (Orphans Series),V.C. Andrews,2000,Pocket
8495501074,Ensayo sobre la ceguera,Jose Saramago,2001,Santillana USA Publishing Company
316782262,All He Ever Wanted,Anita Shreve,2003,Little
525945210,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,1999,Dutton Books
446530387,Stone Kiss (Peter Decker & Rina Lazarus Novels (Hardcover)),Faye Kellerman,2002,Warner Books
688177743,Keeping Faith : A Novel,Jodi Picoult,2000,Perennial
375413634,The Emperor of Ocean Park (Today Show Book Club #1),Stephen L. Carter,2002,Alfred A. Knopf
425147762,Red Azalea,Anchee Min,1995,Berkley Publishing Group
399149295,Blood Orchid (Holly Barker Novels (Hardcover)),Stuart Woods,2002,Putnam Adult
670031062,Must Love Dogs: A Novel,Claire Cook,2002,Viking Books
679439382,The Little Friend,Donna Tartt,2002,Alfred A. Knopf
451179188,Throat,Peter Straub,1999,Signet Book
61098035,Burn Factor,Kyle Mills,2002,HarperTorch
804108749,Saint Maybe,ANNE TYLER,1992,Ivy Books
425121631,Rules of Prey,John Sandford,1992,Berkley Publishing Group
345402308,Fourth Procedure,STANLEY POTTINGER,1995,Ballantine Books
451168690,Mystery,Peter Straub,1997,Signet Book
067945960X,Monster: A Novel,Jonathan Kellerman,1999,Random House Inc
316693235,Violets Are Blue,James Patterson,2001,Little
380820846,Romancing Mister Bridgerton,Julia Quinn,2002,Avon
425153975,The Eyes of Darkness,Dean R. Koontz,1996,Berkley Publishing Group
425119653,Mutation,Robin Cook,1991,Berkley Publishing Group
553579983,And Then You Die,Iris Johansen,1998,Bantam
399149325,Portrait of a Killer: Jack the Ripper -- Case Closed,Patricia Cornwell,2002,G. P. Putnam's Sons
743233468,Bare Bones : A Novel,Kathy Reichs,2003,Scribner
804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books
380808072,First Lady,Susan Elizabeth Phillips,2000,Avon
067179356X,In the Name of Love : Ann Rule's Crime Files Volume 4 (Ann Rule's Crime Files),Ann Rule,1998,Pocket
446611808,Envy,Sandra Brown,2002,Warner Books
446600709,Assumed Identity,David Morrell,1994,Warner Books
425178579,Betrayal in Death,Nora Roberts,2001,Berkley Publishing Group
1551669498,Girls Night,Stef Ann Holm,2002,Mira
316710571,Sam's Letters to Jennifer,James Patterson,2004,Little
553802526,The Killing Hour,LISA GARDNER,2003,Bantam
399150854,Blacklist: A V.I. Warshawski Novel,Sara Paretsky,2003,Putnam Publishing Group
446531421,Still Life With Crows,Lincoln Child,2003,Warner Books
399150870,Stone Cold: A Jesse Stone Novel,Robert B. Parker,2003,Putnam Publishing Group
399149821,Dirty Work,Stuart Woods,2003,Putnam Publishing Group
553802496,Odd Thomas,Dean Koontz,2003,Bantam
345452577,The Conspiracy Club,JONATHAN KELLERMAN,2003,Ballantine Books
525947655,A Perfect Day,Richard Paul Evans,2003,Dutton Books
399148760,Seizure,Robin Cook,2003,Putnam Publishing Group
316603287,The Lake House,James Patterson,2003,Little
425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group
553580515,Passage,Connie Willis,2002,Bantam Books
312985207,Stephen Coonts' Deep Black (Deep Black),Stephen Coonts,2003,St. Martin's Paperbacks
451208765,Sleep No More,Greg Iles,2003,Signet Book
618129022,The Lord of the Rings (Movie Art Cover),J.R.R. Tolkien,2001,Houghton Mifflin Company
345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
345423429,A Caress of Twilight (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2003,Fawcett
743454146,The Footprints of God : A Novel,Greg Iles,2004,Pocket Star
553106643,Fear Nothing,DEAN KOONTZ,1998,Bantam
449223795,The Homing,John Saul,1995,Fawcett Books
312144075,The Samurai's Garden : A Novel,Gail Tsukiyama,1996,St. Martin's Griffin
156007479,Slammerkin,Emma Donoghue,2002,Harvest Books
61031844,The Book of Shadows,James Reese,2002,HarperTorch
875421849,Living Wicca: A Further Guide for the Solitary Practitioner (Llewellyn's Practical Magick),Scott Cunningham,1993,Llewellyn Publications
786868619,Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,2001,Talk Miramax Books
671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
451206525,Dead Sleep,Greg Iles,2002,Signet Book
451167317,The Dark Half,Stephen King,1994,Signet Book
671517643,LITTLE WOMEN,Louisa May Alcott,1994,Pocket
399144706,River's End,Nora Roberts,1999,Putnam Publishing Group
345396936,Cry to Heaven,Anne Rice,1995,Ballantine Books
312980159,Fast Women,Jennifer Crusie,2002,St. Martin's Press
312979886,Female Intelligence,Jane Heller,2002,St. Martin's Paperbacks
425173631,Witness in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group
553212451,The Jungle (Bantam Classics),Upton Sinclair,1981,Bantam
451191137,Anthem,Ayn Rand,1996,Signet Book
679454489,Merrick (Vampire Chronicles),Anne Rice,2000,Alfred A. Knopf
425176304,Judgment in Death,J. D. Robb,2004,Berkley Publishing Group
087542791X,To Ride a Silver Broomstick: New Generation Witchcraft,Silver Ravenwolf,1993,Llewellyn Publications
679720200,The Stranger,ALBERT CAMUS,1989,Vintage
312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
446670111,Einstein's Dreams,Alan Lightman,1994,Warner Books
312979096,Now You See Me,Tina Wainscott,2002,St. Martin's Paperbacks
609603086,The Hammer of Eden: A Novel,Ken Follett,1998,Random House Inc
553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam
553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam
374281947,Personal Injuries,Scott Turow,1999,Farrar Straus Giroux
345420438,The Tailor of Panama,John Le Carre,1997,Ballantine Books
345384911,Crystal Line,Anne McCaffrey,1993,Del Rey Books
451191013,The Regulators,Stephen King,2002,Signet Book
2070380599,Au bonheur des ogres (Collectiom Folio),Daniel Pennac,1993,Gallimard
375725849,Perfume: The Story of a Murderer (Vintage International),Patrick Suskind,2001,Vintage Books USA
671701231,The Anastasia Syndrome,Mary Higgins Clark,1991,Pocket
449204553,A Walk Across America,Peter Jenkins,1989,Fawcett Books
446605409,Plum Island,Nelson DeMille,1998,Warner Books
61009504,Shinju,Laura Joh Rowland,1996,HarperTorch
679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
446610771,Warchild,Karin Lowachee,2002,Aspect
440224713,Total Recall: A V.I. Warshawski Novel,Sara Paretsky,2002,Dell Publishing Company
553280414,A Separate Peace,John Knowles,1985,Bantam Books
373484232,Stanislaski Sisters,Nora Roberts,2001,Silhouette
345440765,The World Below (Ballantine Reader's Circle),SUE MILLER,2002,Ballantine Books
689710682,Mrs. Frisby and the Rats of Nimh,Robert C. O'Brien,1986,Aladdin
439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic
385498799,Bee Season,Myla Goldberg,2000,Doubleday Books
64471837,Sabriel (The Abhorsen Trilogy),Garth Nix,1997,HarperTrophy
345366239,The Eight,Katherine Neville,1995,Ballantine Books
684832178,CHOCOLATE FOR A WOMANS SOUL : 77 STORIES TO FEED YOUR SPIRIT AND WARM YOUR HEART (Chocolate),Kay Allenbaugh,1997,Fireside
380807343,Coraline,Neil Gaiman,2003,HarperTrophy
553577123,The Diary of a Young Girl: The Definitive Edition,Anne Frank,1997,Bantam Books
812969812,Blessings : A Novel,ANNA QUINDLEN,2003,Random House Trade Paperbacks
452280621,Beloved,Toni Morrison,1998,Plume Books
451166582,The Eyes of the Dragon,Stephen King,2001,Signet Book
671026011,The Empty Chair,Jeffery Deaver,2001,Pocket
330375253,Bridget Jones's Diary,Helen Fielding,2001,Picador
055337933X,Fierce Invalids Home from Hot Climates,TOM ROBBINS,2001,Bantam
385503822,The Summons,John Grisham,2002,Doubleday Books
609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books
61031410,Courting Trouble,Lisa Scottoline,2003,HarperTorch
375757597,Normal Girl : A Novel,MOLLY JONG-FAST,2001,Villard
140071083,The Haunting of Hill House,Shirley Jackson,1984,Penguin Books
684848406,The SECRET BOOK OF GRAZIA DEI ROSSI,Jacqueline Park,1998,Simon & Schuster
553575384,To Say Nothing of the Dog,Connie Willis,1998,Bantam
61031070,Moving Target,Elizabeth Lowell,2002,Avon Books
425180638,The Last Precinct,Patricia Cornwell,2001,Berkley Publishing Group
